Room Name: Room 1
Room Description:  This is room 1
Exit Rooms: S-Room 2
Room Name: Room 2
Room Description:  This is Room 2
Exit Rooms: S-Room 3
Room Name: Room 3
Room Description:  This is Room 3
Exit Rooms: S-Room 4
Room Name: Room 4
Room Description:  This is Room 4
Exit Rooms: S-Room 5
Room Name: Room 5
Room Description:  This is Room 5
Exit Rooms: S-Room 6
Room Name: Room 6
Room Description:  This is Room 6
Exit Rooms: S-Room 7
Room Name: Room 7
Room Description:  This is Room 7
Exit Rooms: S-Room 8
Room Name: Room 8
Room Description:  This is Room 8
Exit Rooms: S-Room 9
Room Name: Room 9
Room Description:  This is Room 9
Exit Rooms: S-Room 10
Room Name: Room 10
Room Description:  This is Room 10
Exit Rooms: S-Room 11
Room Name: Room 11
Room Description:  This is Room 11
Exit Rooms: S-Room 12
Room Name: Room 12
Room Description:  This is Room 12
Exit Rooms: S-Room 13
Room Name: Room 13
Room Description:  This is Room 13
Exit Rooms: S-Room 14
Room Name: Room 14
Room Description:  This is Room 14
Exit Rooms: S-Room 15
Room Name: Room 15
Room Description:  This is Room 15
Exit Rooms: S-Room 16
Room Name: Room 16
Room Description:  This is Room 16
Exit Rooms: S-Room 17
Room Name: Room 17
Room Description:  This is Room 17
Exit Rooms: S-Room 18
Room Name: Room 18
Room Description:  This is Room 18
Exit Rooms: S-Room 19
Room Name: Room 19
Room Description:  This is Room 19
Exit Rooms: S-Room 20
Room Name: Room 20
Room Description:  This is Room 20
Exit Rooms: S-Room 1
